Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I1,22/08/09,Bologna,Fiorentina,1,1,D,1,0,H,6,17,4,5,17,20,4,9,1,1,0,0,3.3,3.25,2.2,3.2,3,2.25,3.4,3.1,2.15,3.1,3.1,2.3,2.88,3,2.25,3.1,3.1,2.2,3,3.1,2.15,3.5,3,2.25,3.25,3.2,2.1,3.1,3.2,2.2,35,3.73,3.26,3.32,3.13,2.35,2.22,30,2.2,2.03,1.78,1.72,19,0,2.57,2.38,1.6,1.54
I1,22/08/09,Siena,Milan,1,2,A,1,1,D,15,13,4,5,22,11,5,8,2,1,0,0,3.75,3.25,2.05,4.15,3.15,1.85,3.75,3.2,2,3.7,3.2,2,3.75,3,1.91,3.8,3.2,1.9,3.75,3,1.91,4,3.2,2,3.5,3.2,2,4,3.2,1.91,35,4.4,3.9,3.38,3.19,2.05,1.97,30,2.18,2.04,1.8,1.73,19,0.5,1.91,1.85,2.08,2.02
I1,23/08/09,Catania,Sampdoria,1,2,A,1,1,D,8,8,4,4,29,13,11,4,4,2,1,0,2.5,3.2,2.88,2.4,3,2.85,2.5,3.1,2.8,2.35,3.05,3.05,2.38,3.2,2.6,2.4,3.1,2.75,2.5,2.9,2.62,2.5,3,3,2.4,3.2,2.7,2.6,3,2.7,34,2.68,2.5,3.25,3.08,3.05,2.84,29,2.31,2.12,1.7,1.66,17,0,1.83,1.76,2.12,2.04
I1,23/08/09,Genoa,Roma,3,2,H,0,0,D,14,11,7,6,20,13,8,5,5,2,0,0,2.4,3.2,3,2.5,3,2.7,2.4,3.2,2.9,2.5,3.1,2.8,2.5,3,2.6,2.45,3.1,2.7,2.3,3,2.8,2.4,3.2,3,2.25,3.2,2.9,2.5,3.1,2.75,34,2.5,2.42,3.27,3.11,3.26,2.92,28,2.01,1.94,1.94,1.8,17,0,1.75,1.67,2.3,2.13
I1,23/08/09,Inter,Bari,1,1,D,0,0,D,20,13,3,4,20,14,10,1,3,2,0,0,1.2,6,15,1.2,5.5,12,1.22,5.75,12,1.2,5.5,14,1.2,5,11,1.2,5.5,12,1.2,5,11,1.22,6,13,1.2,5.5,12,1.25,5.5,10,34,1.25,1.22,6.38,5.65,21.5,13.25,29,1.85,1.75,2.15,2,17,-1.5,1.84,1.79,2.15,2.05
I1,23/08/09,Juventus,Chievo,1,0,H,1,0,H,14,6,2,0,15,14,9,2,3,2,0,0,1.29,5.25,11,1.3,4.55,8.75,1.3,5,9,1.25,5,12,1.3,4.2,9,1.25,5,10,1.25,4.5,10,1.29,5,11,1.25,5,10,1.25,5,11,34,1.32,1.28,5.59,4.9,14,10.72,28,1.88,1.81,2.06,1.95,18,-1.5,2.03,1.96,1.92,1.88
